game_date_est,game_sequence,game_id,team_id_home,team_abbreviation_home,team_city_name_home,team_nickname_home,team_wins_losses_home,pts_qtr1_home,pts_qtr2_home,pts_qtr3_home,pts_qtr4_home,pts_ot1_home,pts_ot2_home,pts_ot3_home,pts_ot4_home,pts_ot5_home,pts_ot6_home,pts_ot7_home,pts_ot8_home,pts_ot9_home,pts_ot10_home,pts_home,team_id_away,team_abbreviation_away,team_city_name_away,team_nickname_away,team_wins_losses_away,pts_qtr1_away,pts_qtr2_away,pts_qtr3_away,pts_qtr4_away,pts_ot1_away,pts_ot2_away,pts_ot3_away,pts_ot4_away,pts_ot5_away,pts_ot6_away,pts_ot7_away,pts_ot8_away,pts_ot9_away,pts_ot10_away,pts_away
20121023000000,3.0,11200097,1610612741,CHI,Chicago,Bulls,42,28.0,23.0,22.0,21.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,94.0,1610612760,OKC,OklahomaCity,Thunder,33,22.0,18.0,27.0,22.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,89.0
20121023000000,1.0,11200095,1610612748,MIA,Miami,Heat,42,31.0,18.0,32.0,17.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,98.0,1610612766,CHA,Charlotte,Bobcats,15,22.0,22.0,21.0,27.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,92.0
20121023000000,2.0,11200096,1610612754,IND,Indiana,Pacers,42,26.0,25.0,27.0,22.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,100.0,1610612739,CLE,Cleveland,Cavaliers,34,23.0,22.0,26.0,11.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,82.0
20121024000000,4.0,11200101,1610612742,DAL,Dallas,Mavericks,34,16.0,24.0,17.0,19.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,76.0,1610612760,OKC,OklahomaCity,Thunder,43,23.0,30.0,18.0,17.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,88.0
20121024000000,7.0,11200105,1610612746,LAC,LosAngeles,Clippers,43,22.0,27.0,23.0,25.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,97.0,1610612747,LAL,LosAngeles,Lakers,07,23.0,17.0,33.0,18.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,91.0
20121024000000,6.0,11200104,1610612748,MIA,Miami,Heat,43,32.0,29.0,17.0,16.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,94.0,1610612764,WAS,Washington,Wizards,34,26.0,21.0,26.0,28.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,101.0
20121024000000,2.0,11200099,1610612763,MEM,Memphis,Grizzlies,43,33.0,22.0,33.0,27.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,115.0,1610612753,ORL,Orlando,Magic,25,21.0,28.0,37.0,14.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,100.0
20121024000000,3.0,11200100,1610612740,NOH,NewOrleans,Hornets,34,19.0,26.0,16.0,29.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,90.0,1610612745,HOU,Houston,Rockets,42,16.0,27.0,29.0,25.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,97.0
20121024000000,5.0,11200102,1610612750,MIN,Minnesota,Timberwolves,42,27.0,25.0,16.0,27.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,95.0,1610612765,DET,Detroit,Pistons,34,10.0,19.0,24.0,23.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,76.0
20121025000000,4.0,11200109,1610612743,DEN,Denver,Nuggets,33,25.0,30.0,20.0,19.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,94.0,1610612746,LAC,LosAngeles,Clippers,53,28.0,33.0,32.0,13.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,106.0
20121025000000,3.0,11200108,1610612758,SAC,Sacramento,Kings,52,30.0,10.0,34.0,20.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,94.0,1610612747,LAL,LosAngeles,Lakers,08,18.0,21.0,18.0,25.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,82.0
20121025000000,2.0,11200107,1610612762,UTA,Utah,Jazz,53,22.0,23.0,26.0,26.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,97.0,1610612757,POR,Portland,TrailBlazers,34,23.0,24.0,22.0,22.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,91.0
20121025000000,1.0,11200106,1610612766,CHA,Charlotte,Bobcats,16,22.0,33.0,24.0,11.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,90.0,1610612749,MIL,Milwaukee,Bucks,34,20.0,23.0,29.0,28.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,100.0
20121026000000,5.0,11200112,1610612749,MIL,Milwaukee,Bucks,35,15.0,21.0,23.0,17.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,76.0,1610612750,MIN,Minnesota,Timberwolves,52,24.0,24.0,31.0,21.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,100.0
20121026000000,8.0,11200116,1610612759,SAS,SanAntonio,Spurs,43,21.0,26.0,27.0,26.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,100.0,1610612764,WAS,Washington,Wizards,35,25.0,25.0,16.0,19.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,85.0
20121026000000,3.0,11200114,1610612737,ATL,Atlanta,Hawks,34,20.0,24.0,22.0,22.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,88.0,1610612765,DET,Detroit,Pistons,44,28.0,27.0,27.0,22.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,104.0
20121026000000,9.0,11200117,1610612743,DEN,Denver,Nuggets,34,21.0,25.0,11.0,15.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,72.0,1610612756,PHX,Phoenix,Suns,43,24.0,27.0,16.0,21.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,88.0
