game_id,game_date,attendance,game_time
29600653,19970202000000,13122.0,159
29600650,19970202000000,21454.0,204
29600647,19970202000000,19763.0,221
29600648,19970202000000,17248.0,216
29600655,19970202000000,17072.0,226
29600654,19970202000000,17505.0,207
29600646,19970202000000,15737.0,203
29600652,19970202000000,19006.0,228
29600656,19970203000000,15259.0,209
29600658,19970203000000,19911.0,205
29600662,19970204000000,24042.0,203
29600664,19970204000000,12338.0,226
29600659,19970204000000,19763.0,231
29600661,19970204000000,17248.0,202
29600665,19970204000000,18462.0,214
29600666,19970204000000,13111.0,152
29600667,19970204000000,21538.0,218
29600663,19970204000000,13703.0,223
29600660,19970204000000,10990.0,208
29600670,19970205000000,16520.0,219
29600671,19970205000000,9525.0,202
29600672,19970205000000,19023.0,153
29600668,19970205000000,14825.0,215
29600674,19970205000000,17072.0,216
29600673,19970205000000,17505.0,205
29600669,19970205000000,13845.0,156
29600681,19970206000000,14277.0,204
29600677,19970206000000,17248.0,220
29600679,19970206000000,24042.0,202
29600675,19970206000000,19763.0,206
29600689,19970211000000,16285.0,204
29600685,19970211000000,15516.0,205
29600688,19970211000000,13172.0,159
29600692,19970211000000,20110.0,218
29600683,19970211000000,17248.0,214
29600691,19970211000000,17317.0,210
29600682,19970211000000,18756.0,220
29600690,19970211000000,6252.0,216
29600687,19970211000000,13257.0,214
29600684,19970211000000,15200.0,218
29600693,19970211000000,17072.0,200
29600697,19970212000000,13319.0,207
29600699,19970212000000,12463.0,212
29600694,19970212000000,24042.0,201
29600700,19970212000000,19023.0,204
29600695,19970212000000,13846.0,206
29600698,19970212000000,18243.0,209
29600703,19970213000000,13034.0,204
29600702,19970213000000,15098.0,215
29600704,19970213000000,16713.0,159
29600701,19970213000000,19763.0,216
29600706,19970213000000,17317.0,225
29600705,19970213000000,19911.0,208
29600713,19970214000000,19023.0,159
29600709,19970214000000,16378.0,213
29600714,19970214000000,17072.0,205
29600707,19970214000000,10642.0,216
29600710,19970214000000,15193.0,232
29600712,19970214000000,14501.0,203
29600715,19970214000000,17434.0,226
29600717,19970215000000,15200.0,204
29600719,19970215000000,26809.0,202
29600718,19970215000000,16278.0,214
29600724,19970216000000,15492.0,214
29600723,19970216000000,11278.0,200
29600728,19970216000000,17317.0,203
29600727,19970216000000,17505.0,225
29600725,19970216000000,23919.0,210
29600722,19970216000000,19763.0,231
29600729,19970216000000,20084.0,220
29600734,19970217000000,16285.0,158
29600736,19970217000000,15540.0,208
29600735,19970217000000,17072.0,213
29600733,19970217000000,14298.0,240
29600730,19970217000000,18756.0,208
29600731,19970217000000,24042.0,200
29600742,19970218000000,17317.0,205
29600741,19970218000000,6592.0,203
29600740,19970218000000,19911.0,216
29600737,19970218000000,19763.0,204
29600738,19970218000000,15989.0,159
29600739,19970218000000,23874.0,160
29600750,19970219000000,15729.0,157
29600747,19970219000000,13179.0,203
29600746,19970219000000,21454.0,204
29600744,19970219000000,24042.0,214
29600745,19970219000000,16378.0,203
29600754,19970220000000,13703.0,219
29600756,19970220000000,19911.0,211
29600753,19970220000000,14292.0,205
29600751,19970220000000,18962.0,157
29600755,19970220000000,16285.0,156
29600759,19970221000000,17248.0,203
29600758,19970221000000,18756.0,226
29600761,19970221000000,24042.0,152
29600767,19970221000000,17031.0,000
29600765,19970221000000,13829.0,204
29600760,19970221000000,15200.0,222
29600768,19970221000000,17072.0,216
29600763,19970221000000,21454.0,202
29600766,19970221000000,19023.0,218
29600764,19970221000000,16279.0,158
29600762,19970221000000,16378.0,206
29600771,19970222000000,23917.0,200
29600769,19970222000000,17613.0,154
29600770,19970222000000,16378.0,212
29600772,19970222000000,16314.0,203
29600782,19970223000000,15536.0,213
29600780,19970223000000,19023.0,202
29600779,19970223000000,19911.0,241
29600773,19970223000000,18815.0,228
29600775,19970223000000,14874.0,158
29600774,19970223000000,18756.0,212
29600777,19970223000000,15416.0,206
29600778,19970223000000,16285.0,212
29600783,19970224000000,17248.0,205
29600786,19970224000000,13092.0,158
29600785,19970224000000,23841.0,153
29600784,19970224000000,15660.0,217
29600788,19970225000000,18756.0,205
29600789,19970225000000,18725.0,213
29600793,19970225000000,19911.0,217
29600791,19970225000000,16285.0,219
29600787,19970225000000,13010.0,209
29600792,19970225000000,9225.0,225
29600794,19970225000000,7247.0,216
29600797,19970226000000,21454.0,154
29600796,19970226000000,17248.0,211
29600803,19970226000000,15619.0,206
29600802,19970226000000,21107.0,234
29600800,19970226000000,14153.0,203
29600798,19970226000000,16383.0,215
29600804,19970227000000,18756.0,209
29600808,19970227000000,19911.0,214
29600805,19970227000000,20562.0,208
29600807,19970227000000,16285.0,210
29600806,19970227000000,12405.0,257
29600817,19970228000000,8574.0,219
29600814,19970228000000,16351.0,212
29600815,19970228000000,23836.0,204
29600819,19970228000000,17463.0,218
