person_id,player_name,season,round_number,round_pick,overall_pick,draft_type,team_id,team_city,team_name,team_abbreviation,organization,organization_type,player_profile_flag
79356,EdHughes,1948,0,0,0,Draft,1610610036,Washington,Capitols,WAS,SanJoseState,CollegeUniversity,0
79357,ThortonJenkins,1948,0,0,0,Draft,1610610036,Washington,Capitols,WAS,Missouri,CollegeUniversity,0
79358,CTParker,1948,0,0,0,Draft,1610610036,Washington,Capitols,WAS,LouisianaTech,CollegeUniversity,0
79359,DonWalker,1948,0,0,0,Draft,1610610036,Washington,Capitols,WAS,SamHoustonState,CollegeUniversity,0
79360,AlWilliams,1948,0,0,0,Draft,1610610036,Washington,Capitols,WAS,Arkansas,CollegeUniversity,0
79361,JimBlack,1948,0,0,0,Draft,1610610024,Baltimore,Bullets,BAL,Occidental,CollegeUniversity,0
79362,RobertCarroll,1948,0,0,0,Draft,1610610024,Baltimore,Bullets,BAL,WestVirginia,CollegeUniversity,0
79363,MarvinEnglish,1948,0,0,0,Draft,1610610024,Baltimore,Bullets,BAL,Newberry,CollegeUniversity,0
79364,GeneFellmoth,1948,0,0,0,Draft,1610610024,Baltimore,Bullets,BAL,Wittenberg,CollegeUniversity,0
79365,JWFullerton,1948,0,0,0,Draft,1610610024,Baltimore,Bullets,BAL,ArkansasState,CollegeUniversity,0
79366,MarshallGemberling,1948,0,0,0,Draft,1610610024,Baltimore,Bullets,BAL,LebanonValley,CollegeUniversity,0
79367,VinceHansen,1948,0,0,0,Draft,1610610024,Baltimore,Bullets,BAL,WashingtonState,CollegeUniversity,0
79368,WayneJones,1948,0,0,0,Draft,1610610024,Baltimore,Bullets,BAL,AmericanInternational,CollegeUniversity,0
79369,PaulMarcincin,1948,0,0,0,Draft,1610610024,Baltimore,Bullets,BAL,Moravian,CollegeUniversity,0
79370,LinkRichmond,1948,0,0,0,Draft,1610612765,FtWayneZollner,Pistons,FTW,Arizona,CollegeUniversity,0
79371,ReedeBerg,1948,0,0,0,Draft,1610610029,Indianapolis,Jets,JET,Oregon,CollegeUniversity,0
76270,DarrellBrown,1948,0,0,0,Draft,1610610024,Baltimore,Bullets,BAL,HumboldtState,CollegeUniversity,1
78124,HowieShannon,1949,1,1,1,Draft,1610610032,Providence,Steamrollers,PRO,KansasState,CollegeUniversity,1
76897,AlexGroza,1949,1,2,2,Draft,1610610030,Indianapolis,Olympians,INO,Kentucky,CollegeUniversity,1
76959,BobHarris,1949,1,3,3,Draft,1610612765,FtWayneZollner,Pistons,FTW,OklahomaState,CollegeUniversity,1
77346,TonyLavelli,1949,1,4,4,Draft,1610612738,Boston,Celtics,BOS,Yale,CollegeUniversity,1
76779,VernGardner,1949,1,5,5,Draft,1610612744,Philadelphia,Warriors,PHW,Utah,CollegeUniversity,1
77392,RonLivingstone,1949,1,6,6,Draft,1610610024,Baltimore,Bullets,BAL,Wyoming,CollegeUniversity,1
77537,DickMcGuire,1949,1,7,7,Draft,1610612752,NewYork,Knicks,NYK,StJohnsNY,CollegeUniversity,1
77199,WallaceJones,1949,1,8,8,Draft,1610610036,Washington,Capitols,WAS,Kentucky,CollegeUniversity,1
77249,JackKerris,1949,1,9,9,Draft,1610610025,Chicago,Stags,CHS,LoyolaChicago,CollegeUniversity,1
78063,FrankSaul,1949,1,10,10,Draft,1610612758,Rochester,Royals,ROC,SetonHall,CollegeUniversity,1
79406,JackDavidson,1949,0,0,0,Draft,1610610034,StLouis,Bombers,BOM,Stanford,CollegeUniversity,0
79407,BobRetherford,1949,0,0,0,Draft,1610610034,StLouis,Bombers,BOM,Nebraska,CollegeUniversity,0
79408,EddieVanZant,1949,0,0,0,Draft,1610610034,StLouis,Bombers,BOM,NorthwesternOklahomaState,CollegeUniversity,0
79409,PrestonWard,1949,0,0,0,Draft,1610610034,StLouis,Bombers,BOM,MissouriState,CollegeUniversity,0
79410,MaynardHaitcock,1949,0,0,0,Draft,1610610036,Washington,Capitols,WAS,GeorgeWashington,CollegeUniversity,0
79411,JimLacy,1949,0,0,0,Draft,1610610036,Washington,Capitols,WAS,LoyolaMaryland,CollegeUniversity,0
79412,JimOwens,1949,2,0,0,Draft,1610610036,Washington,Capitols,WAS,Baylor,CollegeUniversity,0
79413,BillEvans,1949,0,0,0,Draft,1610610024,Baltimore,Bullets,BAL,Drake,CollegeUniversity,0
79414,TomGallagher,1949,0,0,0,Draft,1610610024,Baltimore,Bullets,BAL,StFrancisBrooklyn,CollegeUniversity,0
79415,JimMcMullen,1949,0,0,0,Draft,1610610024,Baltimore,Bullets,BAL,Xavier,CollegeUniversity,0
79416,EppaRixey,1949,0,0,0,Draft,1610610024,Baltimore,Bullets,BAL,Kenyon,CollegeUniversity,0
79417,RogerWiley,1949,0,0,0,Draft,1610610024,Baltimore,Bullets,BAL,Oregon,CollegeUniversity,0
79418,BillZipple,1949,0,0,0,Draft,1610610024,Baltimore,Bullets,BAL,Lafayette,CollegeUniversity,0
79419,DalZuber,1949,0,0,0,Draft,1610612765,FtWayneZollner,Pistons,FTW,Toledo,CollegeUniversity,0
79420,CharlieMaas,1949,0,0,0,Draft,1610610030,Indianapolis,Olympians,INO,Butler,CollegeUniversity,0
79421,JimOHalloran,1949,0,0,0,Draft,1610610030,Indianapolis,Olympians,INO,NotreDame,CollegeUniversity,0
79422,JLParks,1949,0,0,0,Draft,1610610030,Indianapolis,Olympians,INO,OklahomaState,CollegeUniversity,0
78033,BobRoyer,1949,8,0,0,Draft,1610610032,Providence,Steamrollers,PRO,IndianaState,CollegeUniversity,1
76962,BobHarrison,1949,0,0,0,Draft,1610612747,Minneapolis,Lakers,MNL,Michigan,CollegeUniversity,1
77218,GeorgeKaftan,1949,2,0,0,Draft,1610612738,Boston,Celtics,BOS,HolyCross,CollegeUniversity,1
77285,DuaneKlueh,1949,8,0,0,Draft,1610612738,Boston,Celtics,BOS,IndianaState,CollegeUniversity,1
77366,EdLeede,1949,3,0,0,Draft,1610610032,Providence,Steamrollers,PRO,Dartmouth,CollegeUniversity,1
